Designator,Mid X,Mid Y,Rotation,Layer
U32,209.804,-122.936,0.0,top
U33,208.788,-147.828,0.0,top
U34,244.348,-166.878,90.0,top
U35,266.446,-166.878,90.0,top
U36,210.058,-166.878,90.0,top
U37,213.868,-147.828,0.0,top
U38,208.788,-143.764,0.0,top
U39,215.392,-143.764,0.0,top
U4,270.256,-137.16,90.0,top
U40,212.344,-131.572,0.0,top
U41,221.996,-143.764,0.0,top
U42,218.44,-131.572,0.0,top
U43,212.344,-135.636,0.0,top
U44,218.44,-135.636,0.0,top
U45,224.536,-131.572,0.0,top
U46,224.536,-135.636,0.0,top
U47,218.44,-126.238,0.0,top
U48,198.374,-77.47,0.0,top
U49,198.374,-107.95,180.0,top
U5,240.03,-137.16,90.0,top
U50,216.662,-65.532,0.0,top
U51,221.742,-65.532,0.0,top
U52,211.582,-106.68,0.0,top
U53,216.662,-106.68,0.0,top
U54,221.742,-106.68,0.0,top
U55,165.1,-126.746,180.0,top
U56,189.992,-157.734,270.0,top
U57,189.992,-150.876,270.0,top
U58,189.992,-144.018,270.0,top
U59,174.244,-126.746,180.0,top
U6,235.966,-137.16,90.0,top
U60,169.672,-126.746,180.0,top
U61,174.244,-139.446,180.0,top
U62,165.1,-139.446,180.0,top
U63,169.672,-139.446,180.0,top
U64,165.1,-152.146,180.0,top
U65,174.244,-152.146,180.0,top
U66,169.672,-152.146,180.0,top
U67,169.672,-164.846,180.0,top
U68,174.244,-164.846,180.0,top
U69,165.1,-164.846,180.0,top
U7,209.042,-79.756,0.0,top
U70,211.582,-65.532,0.0,top
U71,189.992,-106.934,270.0,top
U72,189.992,-100.076,270.0,top
U73,189.992,-93.218,270.0,top
U74,169.672,-88.646,180.0,top
U75,169.672,-114.046,180.0,top
U76,174.244,-75.946,180.0,top
U77,165.1,-75.946,180.0,top
U78,169.672,-75.946,180.0,top
U79,174.244,-88.646,180.0,top
U8,209.042,-83.82,0.0,top
U80,165.1,-114.046,180.0,top
U81,169.672,-101.346,180.0,top
U82,165.1,-101.346,180.0,top
U83,165.1,-88.646,180.0,top
U84,174.244,-101.346,180.0,top
U85,174.244,-114.046,180.0,top
U9,209.042,-91.948,0.0,top
